"","ID","CHR","MAPINFO","Strand","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","UCSC_CpG_Islands_Name","Relation_to_UCSC_CpG_Island","GencodeBasicV12_NAME","GencodeBasicV12_Accession","GencodeBasicV12_Group","GencodeCompV12_NAME","GencodeCompV12_Accession","GencodeCompV12_Group","DNase_Hypersensitivity_NAME","DNase_Hypersensitivity_Evidence_Count","OpenChromatin_NAME","OpenChromatin_Evidence_Count","TFBS_NAME","TFBS_Evidence_Count","Phantom4_Enhancers","Phantom5_Enhancers","custom_Name","custom_Accession","custom_Group"
"2350","cg03063413","15",25965140,"F","ATP10A","NM_024490","Body","","","","","","","","","chr15:25964705-25965195",3,"",NA,"",NA,"","","ATP10A","NM_024490","Body"
"2351","cg12419863","6",144263450,"R","PLAGL1","NM_001080952","Body","","","PLAGL1","ENST00000451709.2","5'UTR","PLAGL1","ENST00000451709.2","5'UTR","chr6:144263305-144263595",3,"",NA,"",NA,"","","PLAGL1","NM_001080952","Body"
"2352","cg17580798","7",130132199,"R","MEST","NM_177524","5'UTR","chr7:130130739-130133111","Island","MEST","ENST00000341441.4","5'UTR","MEST","ENST00000341441.4","5'UTR","chr7:130131605-130132355",3,"",NA,"",NA,"","","MEST","NM_177524","5'UTR"
"2353","cg23298378","9",4071979,"F","GLIS3","NM_152629","Body","","","RP11-70J12.1","ENST00000457383.1","TSS200","RP11-70J12.1","ENST00000457383.1","TSS200","",NA,"",NA,"",NA,"","","GLIS3","NM_152629","Body"
"2354","cg09807191","9",129429749,"R","LMX1B","NM_002316","Body","","","","","","","","","chr9:129429560-129429855",3,"",NA,"",NA,"","","LMX1B","NM_002316","Body"
"2355","cg05503968","18",30051336,"R","FAM59A","NM_022751","TSS1500","chr18:30050115-30051345","Island","FAM59A","ENST00000269209.6","TSS1500","FAM59A","ENST00000269209.6","TSS1500","chr18:30051245-30051815",3,"",NA,"",NA,"","","FAM59A","NM_022751","TSS1500"
"2356","cg01071314","1",3277623,"R","PRDM16","NM_022114","Body","chr1:3275029-3275284","S_Shelf","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","",NA,"chr1:3275882-3283395",6,"",NA,"","","PRDM16","NM_022114","Body"
"2357","cg10684944","6",160486354,"F","IGF2R","NM_000876","Body","","","","","","","","","chr6:160486340-160486530",3,"",NA,"",NA,"","","IGF2R","NM_000876","Body"
"2358","cg22601123","20",42142995,"R","L3MBTL","NM_032107","TSS200","chr20:42143210-42143591","N_Shore","L3MBTL1","ENST00000444063.1","TSS200","L3MBTL1","ENST00000473981.1","TSS1500","chr20:42142625-42143155",3,"",NA,"",NA,"","","L3MBTL","NM_032107","TSS200"
"2359","cg20800816","2",241070422,"F","MYEOV2","NM_001163424","3'UTR","chr2:241069198-241069400","S_Shore","MYEOV2","ENST00000403160.3","3'UTR","MYEOV2","ENST00000403160.3","3'UTR","",NA,"",NA,"chr2:241065296-241076697",6,"","","MYEOV2","NM_001163424","3'UTR"
"2360","cg14156961","15",27011983,"F","GABRB3","NM_000814","Body","","","GABRB3","ENST00000557641.1","3'UTR","GABRB3","ENST00000555094.1","5'UTR","",NA,"",NA,"",NA,"","","GABRB3","NM_000814","Body"
"2361","cg27347247","11",70028346,"R","ANO1","NM_018043","Body","","","ANO1","ENST00000525494.1","5'UTR","ANO1","ENST00000525494.1","5'UTR","chr11:70028345-70028795",3,"",NA,"",NA,"","","ANO1","NM_018043","Body"
"2362","cg01465429","11",131799701,"R","NTM","NM_001144059","Body","","","","","","NTM","ENST00000479431.1","5'UTR","",NA,"",NA,"",NA,"","","NTM","NM_001144059","Body"
"2363","cg13678415","15",26913120,"F","GABRB3","NM_000814","Body","chr15:26915189-26915753","N_Shelf","GABRB3","ENST00000545868.1","5'UTR","GABRB3","ENST00000545868.1","5'UTR","chr15:26912860-26913135",3,"",NA,"",NA,"","","GABRB3","NM_000814","Body"
"2364","cg23922467","2",56420072,"F","CCDC85A","NM_001080433","Body","","","CCDC85A","ENST00000407862.1","5'UTR","CCDC85A","ENST00000407862.1","5'UTR","",NA,"",NA,"",NA,"","","CCDC85A","NM_001080433","Body"
"2365","cg12814141","14",70388045,"R","SMOC1","NM_001034852","Body","","","SMOC1","ENST00000555917.1","5'UTR","SMOC1","ENST00000555917.1","5'UTR","chr14:70387805-70388135",3,"",NA,"",NA,"","","SMOC1","NM_001034852","Body"
"2366","cg07077459","6",144329052,"R","HYMAI","NR_002768","Body","chr6:144328916-144329847","Island","PLAGL1","ENST00000392307.1","5'UTR","PLAGL1","ENST00000417959.1","5'UTR","chr6:144328845-144329635",3,"",NA,"",NA,"","","HYMAI","NR_002768","Body"
"2367","cg06759255","17",7759060,"R","TMEM88","NM_203411","3'UTR","chr17:7760281-7761680","N_Shore","TMEM88","ENST00000301599.6","3'UTR","TMEM88","ENST00000301599.6","3'UTR","chr17:7759060-7760750",3,"",NA,"",NA,"","","TMEM88","NM_203411","3'UTR"
"2368","cg24844423","19",57352465,"F","PEG3","NM_001146184","TSS1500","chr19:57349997-57350470","S_Shore","PEG3","ENST00000326441.7","TSS1500","PEG3","ENST00000560264.1","TSS1500","chr19:57352385-57352775",3,"",NA,"",NA,"","","PEG3","NM_001146184","TSS1500"
"2369","cg07056644","16",86546785,"R","FOXF1","NM_001451","3'UTR","chr16:86541430-86545228","S_Shore","FOXF1","ENST00000262426.4","3'UTR","FOXF1","ENST00000262426.4","3'UTR","chr16:86544785-86547095",3,"",NA,"",NA,"","","FOXF1","NM_001451","3'UTR"
"2370","cg06020661","13",47472138,"R","HTR2A","NM_001165947","TSS1500","","","HTR2A","ENST00000542664.1","TSS1500","HTR2A","ENST00000542664.1","TSS1500","",NA,"",NA,"",NA,"","","HTR2A","NM_001165947","TSS1500"
"2371","cg19125767","11",2190111,"R","TH","NM_199292","Body","chr11:2187488-2188245","S_Shore","","","","TH","ENST00000324155.4","3'UTR","chr11:2189245-2190155",3,"",NA,"",NA,"","","TH","NM_199292","Body"
"2372","cg10503232","11",2891495,"R","KCNQ1DN","NR_024627","Body","chr11:2890388-2891337","S_Shore","KCNQ1DN","ENST00000441418.2","1stExon","KCNQ1DN","ENST00000441418.2","1stExon","",NA,"chr11:2886977-2893550",6,"",NA,"","","KCNQ1DN","NR_024627","Body"
"2373","cg19262968","22",18893521,"F","DGCR6","NM_005675","TSS1500","chr22:18893251-18894291","Island","DGCR6","ENST00000331444.6","TSS1500","DGCR6","ENST00000331444.6","TSS1500","chr22:18893385-18894835",3,"",NA,"",NA,"","","DGCR6","NM_005675","TSS1500"
"2374","cg08528889","15",79277666,"F","RASGRF1","NM_153815","Body","","","RP11-16K12.1","ENST00000316148.4","5'UTR","RP11-16K12.1","ENST00000316148.4","5'UTR","",NA,"",NA,"",NA,"","","RASGRF1","NM_153815","Body"
"2375","cg25914013","7",79027511,"F","MAGI2","NM_001301128","Body","","","","","","","","","chr7:79027500-79027970",3,"",NA,"",NA,"","","MAGI2","NM_001301128","Body"
"2376","cg11199770","19",31841663,"R","TSHZ3","NM_020856","TSS1500","chr19:31839635-31843049","Island","TSHZ3","ENST00000240587.4","TSS1500","TSHZ3","ENST00000240587.4","TSS1500","chr19:31841640-31843935",3,"",NA,"",NA,"","","TSHZ3","NM_020856","TSS1500"
"2377","cg20085925","15",26874291,"R","GABRB3","NM_001191321","1stExon","chr15:26874097-26874528","Island","GABRB3","ENST00000400188.3","TSS200","GABRB3","ENST00000556166.1","1stExon","chr15:26874185-26874655",3,"",NA,"",NA,"","","GABRB3","NM_001191321","1stExon"
"2378","cg26918812","11",131780882,"F","NTM","NM_001144058","5'UTR","chr11:131780328-131781532","Island","NTM","ENST00000425719.2","TSS1500","NTM","ENST00000463395.1","5'UTR","chr11:131780445-131781690",3,"",NA,"",NA,"","","NTM","NM_001144058","5'UTR"
"2379","cg03725761","20",13201225,"F","ISM1","NM_080826","TSS1500","chr20:13200670-13202616","Island","ISM1","ENST00000262487.3","TSS1500","ISM1","ENST00000262487.3","TSS1500","chr20:13201165-13201435",3,"",NA,"",NA,"","","ISM1","NM_080826","TSS1500"
"2380","cg02982753","14",101291410,"F","MEG3","NR_002766","TSS1500","chr14:101292043-101292709","N_Shore","MEG3","ENST00000429159.2","TSS1500","MEG3","ENST00000429159.2","TSS1500","",NA,"chr14:101291284-101295171",6,"",NA,"","","MEG3","NR_002766","TSS1500"
"2381","cg21407117","1",228548708,"R","OBSCN","NM_052843","3'UTR","chr1:228548077-228548330","S_Shore","OBSCN","ENST00000284548.11","3'UTR","OBSCN","ENST00000474237.1","3'UTR","chr1:228548165-228548835",3,"",NA,"",NA,"","","OBSCN","NM_052843","3'UTR"
"2382","cg15585794","11",131780329,"R","NTM","NM_016522","TSS1500","chr11:131780328-131781532","Island","NTM","ENST00000374786.1","TSS1500","NTM","ENST00000470371.1","TSS1500","",NA,"chr11:131780104-131782358",6,"chr11:131779929-131782798",6,"","","NTM","NM_016522","TSS1500"
"2383","cg24047810","11",2162341,"F","IGF2AS","NR_028044","Body","chr11:2158951-2162484","Island","IGF2","ENST00000434045.2","5'UTR","IGF2","ENST00000434045.2","5'UTR","chr11:2162260-2162715",3,"",NA,"",NA,"high-CpG:2118699-2119180","","IGF2AS","NR_028044","Body"
"2384","cg23979631","7",27142427,"F","HOXA2","NM_006735","TSS200","chr7:27143181-27143479","N_Shore","HOXA2","ENST00000222718.5","1stExon","HOXA2","ENST00000222718.5","1stExon","chr7:27142220-27144415",3,"",NA,"",NA,"","","HOXA2","NM_006735","TSS200"
"2385","cg22858288","11",2930322,"F","SLC22A18","NM_183233","Body","chr11:2930289-2931093","Island","","","","SLC22A18","ENST00000498244.1","TSS200","",NA,"chr11:2928106-2939930",6,"",NA,"","","SLC22A18","NM_183233","Body"
"2386","cg02484476","1",3301446,"F","PRDM16","NM_022114","Body","","","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","chr1:3301065-3301475",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"2387","cg03122669","12",54393442,"F","HOXC9","NM_006897","TSS1500","chr12:54393374-54394648","Island","HOXC9","ENST00000508190.1","5'UTR","HOXC9","ENST00000508190.1","5'UTR","chr12:54393320-54394575",3,"",NA,"",NA,"","","HOXC9","NM_006897","TSS1500"
"2388","cg10893986","1",3229739,"F","PRDM16","NM_022114","Body","","","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","chr1:3229260-3230095",3,"",NA,"",NA,"","chr1:3229711-3229711","PRDM16","NM_022114","Body"
"2389","cg16803846","15",27111572,"R","GABRA5","NM_001165037","TSS1500","chr15:27112030-27113479","N_Shore","GABRA5","ENST00000355395.5","TSS1500","GABRA5","ENST00000355395.5","TSS1500","chr15:27111465-27111950",3,"",NA,"",NA,"","","GABRA5","NM_001165037","TSS1500"
"2390","cg01139039","7",150778208,"R","FASTK","NM_033015","TSS1500","chr7:150777607-150780879","Island","FASTK","ENST00000540185.1","TSS1500","FASTK","ENST00000478477.1","TSS1500","chr7:150778165-150779315",3,"",NA,"",NA,"","","FASTK","NM_033015","TSS1500"
"2391","cg21995038","2",56410114,"F","CCDC85A","NM_001080433","TSS1500","chr2:56410865-56412539","N_Shore","AC007743.1","ENST00000432793.1","3'UTR","AC007743.1","ENST00000432793.1","3'UTR","",NA,"",NA,"chr2:56409284-56413653",6,"","","CCDC85A","NM_001080433","TSS1500"
"2392","cg04366249","7",94285501,"F","SGCE","NM_001099400","1stExon","chr7:94284858-94286527","Island","SGCE","ENST00000265735.7","1stExon","SGCE","ENST00000265735.7","1stExon","chr7:94285340-94285870",3,"",NA,"",NA,"high-CpG:94123342-94123457","","SGCE","NM_001099400","1stExon"
"2393","cg10171448","10",134599841,"F","NKX6-2","NM_177400","TSS1500","chr10:134597357-134602649","Island","NKX6-2","ENST00000368592.5","TSS1500","NKX6-2","ENST00000368592.5","TSS1500","chr10:134599560-134601295",3,"",NA,"",NA,"","","NKX6-2","NM_177400","TSS1500"
"2394","cg06380199","1",3228966,"R","PRDM16","NM_022114","Body","","","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","",NA,"chr1:3228203-3229242",6,"",NA,"","","PRDM16","NM_022114","Body"
"2395","cg14882265","7",27184375,"F","HOXA5","NM_019102","TSS1500","chr7:27182613-27185562","Island","HOXA5","ENST00000222726.3","TSS1500","HOXA5","ENST00000222726.3","TSS1500","chr7:27184300-27185055",3,"",NA,"",NA,"","","HOXA5","NM_019102","TSS1500"
"2396","cg10391102","1",3206316,"F","PRDM16","NM_022114","Body","chr1:3203765-3204453","S_Shore","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","",NA,"chr1:3204496-3207357",6,"",NA,"","","PRDM16","NM_022114","Body"
"2397","cg17031478","12",54427173,"F","HOXC4","NM_014620","5'UTR","chr12:54427025-54428709","Island","MIR615","ENST00000549978.1","TSS1500","MIR615","ENST00000549978.1","TSS1500","chr12:54426980-54428615",3,"",NA,"",NA,"","","HOXC4","NM_014620","5'UTR"
"2398","cg04762448","9",139560055,"R","EGFL7","NM_201446","TSS200","chr9:139559804-139561005","Island","EGFL7","ENST00000492002.1","TSS200","EGFL7","ENST00000492002.1","TSS200","chr9:139558345-139563190",3,"",NA,"",NA,"","","EGFL7","NM_201446","TSS200"
"2399","cg04304932","14",101292128,"F","MEG3","NR_002766","TSS1500","chr14:101292043-101292709","Island","MEG3","ENST00000429159.2","TSS1500","MEG3","ENST00000429159.2","TSS1500","",NA,"chr14:101291284-101295171",6,"chr14:101292086-101295274",6,"","","MEG3","NR_002766","TSS1500"
"2400","cg00616687","21",38072186,"F","SIM2","NM_009586","1stExon","chr21:38068193-38073891","Island","AP000697.6","ENST00000430607.1","3'UTR","AP000697.6","ENST00000430607.1","3'UTR","chr21:38069505-38072575",3,"",NA,"",NA,"","","SIM2","NM_009586","1stExon"
"2401","cg20891060","11",2023865,"F","","","","chr11:2026733-2027016","N_Shelf","H19","ENST00000428066.1","TSS1500","H19","ENST00000428066.1","TSS1500","chr11:2023685-2024415",3,"",NA,"",NA,"","","H19","ENST00000428066.1","TSS1500"
"2402","cg13874969","15",26874480,"R","GABRB3","NM_001191321","TSS200","chr15:26874097-26874528","Island","GABRB3","ENST00000400188.3","TSS1500","GABRB3","ENST00000556166.1","TSS200","chr15:26874185-26874655",3,"",NA,"",NA,"","","GABRB3","NM_001191321","TSS200"
"2403","cg05200614","14",101323508,"R","MEG3","NR_003531","Body","","","MEG3","ENST00000521256.1","TSS1500","MEG3","ENST00000521256.1","TSS1500","",NA,"",NA,"",NA,"","","MEG3","NR_003531","Body"
"2404","cg02451291","15",25934871,"F","ATP10A","NM_024490","Body","","","","","","ATP10A","ENST00000555815.1","3'UTR","chr15:25934860-25935035",3,"",NA,"",NA,"","","ATP10A","NM_024490","Body"
"2405","cg22376366","1",1275137,"F","DVL1","NM_004421","Body","chr1:1271425-1272074","S_Shelf","DVL1","ENST00000263743.5","5'UTR","DVL1","ENST00000263743.5","5'UTR","",NA,"chr1:1262288-1285556",6,"",NA,"","","DVL1","NM_004421","Body"
"2406","cg15367021","18",30050896,"F","FAM59A","NM_022751","TSS1500","chr18:30050115-30051345","Island","FAM59A","ENST00000269209.6","TSS1500","FAM59A","ENST00000269209.6","TSS1500","chr18:30050705-30051115",3,"",NA,"",NA,"","","FAM59A","NM_022751","TSS1500"
"2407","cg10618790","7",78597076,"F","MAGI2","NM_001301128","Body","","","MAGI2-IT1","ENST00000440555.2","3'UTR","MAGI2-IT1","ENST00000440555.2","3'UTR","",NA,"",NA,"chr7:78596410-78597329",3,"","","MAGI2","NM_001301128","Body"
"2408","cg17471939","1",3600879,"R","TP73","NM_005427","Body","","","","","","","","","chr1:3600665-3601135",3,"",NA,"",NA,"","","TP73","NM_005427","Body"
"2409","cg05662404","7",79081807,"F","MAGI2","NM_012301","Body","chr7:79081565-79081879","Island","MAGI2-AS3","ENST00000429408.1","TSS1500","MAGI2-AS3","ENST00000429408.1","TSS1500","chr7:79081320-79082455",3,"",NA,"",NA,"","","MAGI2","NM_012301","Body"
"2410","cg12256753","7",50813730,"R","GRB10","NM_001001555","5'UTR","","","GRB10","ENST00000407526.1","5'UTR","GRB10","ENST00000407526.1","5'UTR","chr7:50813625-50813815",3,"",NA,"",NA,"","","GRB10","NM_001001555","5'UTR"
"2411","cg09265054","8",145728138,"R","GPT","NM_005309","TSS1500","chr8:145725460-145726707","S_Shore","GPT","ENST00000528431.1","TSS1500","CTD-2517M22.14","ENST00000527086.1","5'UTR","",NA,"chr8:145721049-145756539",6,"chr8:145723683-145729995",6,"","","GPT","NM_005309","TSS1500"
"2412","cg17219828","11",3140094,"F","OSBPL5","NM_020896","Body","chr11:3141642-3141877","N_Shore","OSBPL5","ENST00000357352.4","5'UTR","OSBPL5","ENST00000532951.1","3'UTR","",NA,"",NA,"",NA,"","","OSBPL5","NM_020896","Body"
"2413","cg14245947","9",139741866,"F","PHPT1","NM_014172","TSS1500","chr9:139738276-139744618","Island","PHPT1","ENST00000371661.1","TSS1500","PHPT1","ENST00000371661.1","TSS1500","chr9:139741425-139742090",3,"",NA,"",NA,"","","PHPT1","NM_014172","TSS1500"
"2414","cg22715954","12",58146426,"F","CDK4","NM_000075","TSS1500","chr12:58145853-58146360","S_Shore","CDK4","ENST00000257904.5","TSS200","CDK4","ENST00000257904.5","TSS200","chr12:58146085-58146515",3,"",NA,"",NA,"","","CDK4","NM_000075","TSS1500"
"2415","cg02719634","11",2924899,"F","SLC22A18AS","NM_007105","1stExon","chr11:2923301-2923817","S_Shore","SLC22A18AS","ENST00000533594.1","5'UTR","SLC22A18AS","ENST00000533594.1","5'UTR","chr11:2924860-2925075",3,"",NA,"",NA,"","","SLC22A18AS","NM_007105","1stExon"
"2416","cg26153353","1",3120516,"F","PRDM16","NM_022114","Body","","","","","","","","","",NA,"chr1:3117903-3124970",6,"",NA,"","","PRDM16","NM_022114","Body"
"2417","cg25775742","1",2337977,"R","PEX10","NM_002617","Body","chr1:2339876-2340246","N_Shore","","","","PEX10","ENST00000510434.1","3'UTR","",NA,"chr1:2336935-2339383",6,"chr1:2330778-2351383",6,"","","PEX10","NM_002617","Body"
"2418","cg26718354","11",2907071,"F","CDKN1C","NM_000076","TSS200","chr11:2907308-2907675","N_Shore","CDKN1C","ENST00000414822.3","1stExon","CDKN1C","ENST00000414822.3","1stExon","chr11:2906845-2907395",3,"",NA,"",NA,"high-CpG:2863573-2863664","","CDKN1C","NM_000076","TSS200"
"2419","cg01772149","1",3038216,"R","PRDM16","NM_022114","Body","chr1:3038067-3038343","Island","","","","","","","chr1:3037980-3038235",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"2420","cg17083494","7",96654832,"F","DLX5","NM_005221","TSS1500","chr7:96653467-96654199","S_Shore","DLX5","ENST00000493764.1","TSS1500","DLX5","ENST00000493764.1","TSS1500","",NA,"",NA,"",NA,"","","DLX5","NM_005221","TSS1500"
"2421","cg09285543","14",101296134,"F","MEG3","NR_003531","Body","chr14:101293427-101294433","S_Shore","MEG3","ENST00000452120.2","5'UTR","MEG3","ENST00000452120.2","5'UTR","chr14:101295865-101296155",3,"",NA,"",NA,"","","MEG3","NR_003531","Body"
"2422","cg12908476","15",26105066,"R","ATP10A","NM_024490","Body","chr15:26107503-26108818","N_Shelf","ATP10A","ENST00000553577.1","3'UTR","ATP10A","ENST00000389967.4","3'UTR","chr15:26104925-26106435",3,"",NA,"",NA,"","chr15:26104619-26104619","ATP10A","NM_024490","Body"
"2423","cg15463013","16",51184567,"F","SALL1","NM_001127892","TSS200","chr16:51183699-51188763","Island","SALL1","ENST00000440970.1","TSS200","SALL1","ENST00000440970.1","TSS200","chr16:51183725-51186475",3,"",NA,"",NA,"","","SALL1","NM_001127892","TSS200"
"2424","cg19609315","19",59085246,"F","MZF1","NM_003422","TSS1500","chr19:59086697-59087299","N_Shore","MZF1","ENST00000215057.1","TSS1500","AC016629.2","ENST00000479047.1","5'UTR","chr19:59085145-59085510",3,"",NA,"",NA,"","","MZF1","NM_003422","TSS1500"
"2425","cg04548378","11",2906285,"R","CDKN1C","NM_001122630","Body","chr11:2905023-2907024","Island","CDKN1C","ENST00000430149.2","1stExon","CDKN1C","ENST00000430149.2","1stExon","chr11:2906205-2906795",3,"",NA,"",NA,"","","CDKN1C","NM_001122630","Body"
"2426","cg17692251","9",3963768,"F","GLIS3","NM_152629","Body","","","GLIS3","ENST00000461870.1","3'UTR","GLIS3","ENST00000469833.1","3'UTR","",NA,"",NA,"chr9:3962284-3964204",6,"","","GLIS3","NM_152629","Body"
"2427","cg18499731","15",25522171,"R","SNORD109B","NR_001289","TSS1500","","","SNORD109B","ENST00000458961.1","TSS1500","SNORD109B","ENST00000458961.1","TSS1500","",NA,"",NA,"",NA,"","","SNORD109B","NR_001289","TSS1500"
"2428","cg20593014","12",47163174,"R","SLC38A4","NM_001143824","Body","","","","","","SLC38A4","ENST00000550670.1","TSS200","",NA,"",NA,"",NA,"","","SLC38A4","NM_001143824","Body"
"2429","cg21222634","20",57465926,"R","GNAS","NM_001077490","3'UTR","chr20:57463652-57467739","Island","GNAS","ENST00000371095.3","TSS1500","GNAS","ENST00000371095.3","TSS1500","chr20:57464860-57467395",3,"",NA,"",NA,"high-CpG:56898700-56901058","","GNAS","NM_001077490","3'UTR"
"2430","cg07216619","15",27035245,"F","","","","","","GABRB3","ENST00000557641.1","1stExon","GABRB3","ENST00000557641.1","1stExon","",NA,"",NA,"chr15:27035192-27035835",3,"","","GABRB3","ENST00000557641.1","1stExon"
"2431","cg01682682","6",57338359,"R","PRIM2","NM_000947","Body","","","PRIM2","ENST00000389488.2","5'UTR","PRIM2","ENST00000389488.2","5'UTR","chr6:57338245-57338515",3,"",NA,"",NA,"","","PRIM2","NM_000947","Body"
"2432","cg16873863","11",2921176,"F","SLC22A18AS","NM_007105","5'UTR","chr11:2923301-2923817","N_Shelf","SLC22A18AS","ENST00000533594.1","5'UTR","SLC22A18AS","ENST00000533594.1","5'UTR","",NA,"chr11:2919473-2921498",6,"chr11:2919358-2921191",6,"","","SLC22A18AS","NM_007105","5'UTR"
"2433","cg15991553","14",101290867,"F","","","","chr14:101290523-101290868","Island","MEG3","ENST00000556407.1","5'UTR","MEG3","ENST00000556407.1","5'UTR","chr14:101290500-101290910",3,"",NA,"",NA,"","","MEG3","ENST00000556407.1","5'UTR"
"2434","cg12525187","10",68940838,"R","CTNNA3","NM_013266","Body","","","CTNNA3","ENST00000494580.1","TSS1500","CTNNA3","ENST00000494580.1","TSS1500","",NA,"",NA,"",NA,"","","CTNNA3","NM_013266","Body"
"2435","cg18453621","9",129376904,"R","LMX1B","NM_002316","Body","chr9:129372737-129378106","Island","RP11-123K19.1","ENST00000425370.1","TSS1500","RP11-123K19.1","ENST00000425370.1","TSS1500","chr9:129376060-129377975",3,"",NA,"",NA,"","","LMX1B","NM_002316","Body"
"2436","cg19690404","7",129933646,"R","CPA4","NM_016352","Body","","","CPA4","ENST00000538687.1","5'UTR","CPA4","ENST00000497388.1","5'UTR","chr7:129933305-129933750",3,"",NA,"",NA,"","","CPA4","NM_016352","Body"
"2437","cg24465469","1",214724440,"F","PTPN14","NM_005401","5'UTR","chr1:214724104-214725056","Island","PTPN14","ENST00000491277.1","3'UTR","PTPN14","ENST00000491277.1","3'UTR","chr1:214723020-214725515",3,"",NA,"",NA,"","","PTPN14","NM_005401","5'UTR"
"2438","cg02501418","7",130130740,"R","MESTIT1","NR_004382","Body","chr7:130130739-130133111","Island","MEST","ENST00000341441.4","5'UTR","MEST","ENST00000341441.4","5'UTR","",NA,"chr7:130130050-130132542",6,"chr7:130130072-130133945",6,"","","MESTIT1","NR_004382","Body"
"2439","cg11188103","1",214668616,"R","PTPN14","NM_005401","5'UTR","","","PTPN14","ENST00000366956.4","5'UTR","PTPN14","ENST00000486173.1","3'UTR","",NA,"",NA,"",NA,"","","PTPN14","NM_005401","5'UTR"
"2440","cg26457809","11",2890617,"R","KCNQ1DN","NR_024627","TSS1500","chr11:2890388-2891337","Island","KCNQ1DN","ENST00000441418.2","TSS1500","KCNQ1DN","ENST00000441418.2","TSS1500","chr11:2890565-2890835",3,"",NA,"",NA,"","","KCNQ1DN","NR_024627","TSS1500"
"2441","cg27496965","7",93521196,"R","TFPI2","NM_006528","TSS1500","chr7:93519366-93520184","S_Shore","AC002076.10","ENST00000435257.1","5'UTR","AC002076.10","ENST00000435257.1","5'UTR","",NA,"",NA,"chr7:93520946-93521320",3,"","","TFPI2","NM_006528","TSS1500"
"2442","cg22499745","11",2832905,"R","KCNQ1","NM_000218","Body","","","KCNQ1","ENST00000526095.1","5'UTR","KCNQ1","ENST00000526095.1","5'UTR","chr11:2832900-2833490",3,"",NA,"",NA,"","","KCNQ1","NM_000218","Body"
"2443","cg13930300","1",92950265,"R","GFI1","NM_001127216","5'UTR","chr1:92945907-92952609","Island","GFI1","ENST00000427103.1","5'UTR","GFI1","ENST00000427103.1","5'UTR","chr1:92949025-92952755",3,"",NA,"",NA,"","","GFI1","NM_001127216","5'UTR"
"2444","cg02568274","12",54393565,"F","HOXC9","NM_006897","TSS1500","chr12:54393374-54394648","Island","HOXC9","ENST00000508190.1","5'UTR","HOXC9","ENST00000508190.1","5'UTR","chr12:54393320-54394575",3,"",NA,"",NA,"","","HOXC9","NM_006897","TSS1500"
"2445","cg07102229","12",47219958,"F","SLC38A4","NM_001143824","TSS200","","","SLC38A4","ENST00000395426.3","TSS200","SLC38A4","ENST00000395426.3","TSS200","",NA,"chr12:47219296-47220165",6,"chr12:47219313-47220131",6,"","","SLC38A4","NM_001143824","TSS200"
"2446","cg14176575","20",36156574,"R","BLCAP","NM_001167820","TSS1500","chr20:36156022-36156669","Island","BLCAP","ENST00000397135.1","TSS1500","BLCAP","ENST00000397135.1","TSS1500","chr20:36155785-36156690",3,"",NA,"",NA,"","","BLCAP","NM_001167820","TSS1500"
"2447","cg07600278","1",228548163,"R","OBSCN","NM_052843","Body","chr1:228548077-228548330","Island","","","","OBSCN","ENST00000474237.1","3'UTR","",NA,"chr1:228544693-228567604",6,"chr1:228544771-228551069",6,"","","OBSCN","NM_052843","Body"
"2448","cg16013247","19",57630202,"R","USP29","NM_020903","TSS1500","chr19:57630339-57630633","N_Shore","USP29","ENST00000254181.3","TSS1500","USP29","ENST00000254181.3","TSS1500","",NA,"",NA,"",NA,"","","USP29","NM_020903","TSS1500"
"2449","cg19563452","11",3187939,"F","OSBPL5","NM_001144063","TSS1500","chr11:3186131-3186768","S_Shore","OSBPL5","ENST00000389989.3","TSS1500","OSBPL5","ENST00000465323.1","TSS1500","chr11:3187860-3188370",3,"",NA,"",NA,"","","OSBPL5","NM_001144063","TSS1500"
"2450","cg17821321","15",79383632,"R","RASGRF1","NM_001145648","TSS1500","chr15:79381804-79384209","Island","RASGRF1","ENST00000558480.2","TSS1500","RASGRF1","ENST00000558480.2","TSS1500","chr15:79382245-79383715",3,"",NA,"",NA,"","","RASGRF1","NM_001145648","TSS1500"
"2451","cg14388858","7",94285520,"F","SGCE","NM_001099400","1stExon","chr7:94284858-94286527","Island","SGCE","ENST00000265735.7","1stExon","SGCE","ENST00000265735.7","1stExon","chr7:94285340-94285870",3,"",NA,"",NA,"high-CpG:94123342-94123457","","SGCE","NM_001099400","1stExon"
"2452","cg13559259","18",30050338,"R","FAM59A","NM_022751","1stExon","chr18:30050115-30051345","Island","FAM59A","ENST00000269209.6","1stExon","FAM59A","ENST00000269209.6","1stExon","chr18:30049660-30050575",3,"",NA,"",NA,"","","FAM59A","NM_022751","1stExon"
